experiment,experiment_id,experiment_title,source,run,comparison_id,variant,strategy,seed,metric_ap,metric_name,roc_auc,precision,recall,f1,f1_macro,gmean,accuracy,specificity,false_positive_rate,alert_rate,decision_threshold,threshold_policy,best_val_ap,val_test_ap_gap,inference_seconds,inference_ms_per_1000,duration_seconds,peak_vram_gb,long_tail_recall,tp,fp,tn,fn,protocol,full_data,included_in_summary,notes
EXP6,6,Imbalance calibration,result\exp6_summary.csv,,,exp6_gpu_tqdm,uniform,42.0,0.0234596678535829,AP/AUPRC,,0.6956521739130435,0.0215536596317916,0.0418118466898954,,,0.9987971684251244,0.9999885044289425,1.1495571057546007e-05,,0.9967086315155028,validation_f_beta,0.664371617961896,0.6409119472217706,103.91232120000495,28.406595672268026,20964.6096569,6.409760475158691,0.0215681869242866,96.0,42.0,3653539.0,4358.0,temporal_70_15_15,,,"Threshold validation, gradient clipping, progress bar, full-data GPU."
EXP7,7,Memory-bounded importance,result\exp7_summary.csv,,,exp7_memory_bounded,importance,42.0,0.0112093094219684,AP/AUPRC,,0.0101010101010101,0.0232558139534883,0.0140845070422535,,,0.9906666666666667,0.993447883933944,0.006552116066056027,,0.8342262506484985,validation_f_beta,0.0169954857450981,0.0057861763231297,5.743942900036927,382.9295266691285,568.8870455999859,0.0915813446044921,0.0232558139534883,1.0,98.0,14859.0,42.0,temporal_70_15_15,,,Membatasi temporary tensor importance/PPR agar tidak OOM.
EXP7,7,Memory-bounded importance,result\exp7_summary.csv,,,exp7_memory_bounded,topology,42.0,0.0108020964992586,AP/AUPRC,,0.0081967213114754,0.0232558139534883,0.0121212121212121,,,0.9891333333333333,0.9919101424082369,0.008089857591763054,,0.8318004608154297,validation_f_beta,0.0163707863484138,0.0055686898491551,0.0807873000157997,5.385820001053314,8.458970700041391,0.0933022499084472,0.0232558139534883,1.0,121.0,14836.0,42.0,temporal_70_15_15,,,Membatasi temporary tensor importance/PPR agar tidak OOM.
EXP7,7,Memory-bounded importance,result\exp7_summary.csv,,,exp7_memory_bounded,uniform,42.0,0.0108001311859011,AP/AUPRC,,0.0081967213114754,0.0232558139534883,0.0121212121212121,,,0.9891333333333333,0.9919101424082369,0.008089857591763054,,0.8317821025848389,validation_f_beta,0.0163719607294518,0.0055718295435507,0.0522193000069819,3.481286667132129,8.103135599987581,0.0915899276733398,0.0232558139534883,1.0,121.0,14836.0,42.0,temporal_70_15_15,,,Membatasi temporary tensor importance/PPR agar tidak OOM.
EXP8,8,Adaptive batched importance,result\exp8_summary.csv,,,exp8_adaptive_importance,importance,42.0,0.0236192054918273,AP/AUPRC,,0.7741935483870968,0.0215536596317916,0.0419397116644823,,,0.998800995616499,0.9999923362859616,7.663714038364005e-06,,0.99896502494812,validation_f_beta,0.6598536442851229,0.6362344399263388,334.56291249999776,91.45973521303044,87891.96903809998,6.409760475158691,0.0215681869242866,96.0,28.0,3653553.0,4358.0,temporal_70_15_15,,,Mempercepat importance sampling dengan batching adaptif dan cache bobot.
EXP9,9,Reference sampling,result\exp9\runs.csv,exp9_reference_sampling_3dab9a5ac30d71cd_importance_seed42_attempt0001,3dab9a5ac30d71cd,exp9_reference_sampling_3dab9a5ac30d71cd_importance_seed42_attempt0001,importance,42.0,0.0254477615637858,AP/AUPRC,0.6586402069896353,0.0042981577512647,0.1522227211495285,0.0083602554933537,,,0.956031038522048,0.9570109435099428,0.04298905649005729,,0.5,,0.6523082773369347,0.6268605157731489,0.4775978999969084,0.1305613259569436,1574.7506726000138,2.1657509803771973,0.1523253201527746,678.0,157064.0,3496517.0,3776.0,,,True,Implementasi mandiri dengan frozen train graph dan definisi sampler eksplisit.
EXP9,9,Reference sampling,result\exp9\runs.csv,exp9_reference_sampling_3dab9a5ac30d71cd_topology_seed42,3dab9a5ac30d71cd,exp9_reference_sampling_3dab9a5ac30d71cd_topology_seed42,topology,42.0,0.0258615923431503,AP/AUPRC,0.6576905766981648,0.0041391208069676,0.1443646160754378,0.0080475090894299,,,0.9566666256610448,0.9576568851217476,0.042343114878252326,,0.5,,0.6530447357484147,0.6271831434052644,0.5268164000008255,0.144016227291654,1304.4456625999885,2.1657509803771973,0.1444619186699618,643.0,154704.0,3498877.0,3811.0,,,True,Implementasi mandiri dengan frozen train graph dan definisi sampler eksplisit.
EXP9,9,Reference sampling,result\exp9\runs.csv,exp9_reference_sampling_3dab9a5ac30d71cd_uniform_seed42,3dab9a5ac30d71cd,exp9_reference_sampling_3dab9a5ac30d71cd_uniform_seed42,uniform,42.0,0.0252881879373996,AP/AUPRC,0.6427888651340887,0.0035831968787272,0.1591827570722945,0.0070086298079299,,,0.945078710291181,0.9460367787110783,0.053963221288921746,,0.5,,0.6491501452603743,0.6238619573229746,0.465174000011757,0.1271649943239354,1288.975242600005,1.9113755226135252,0.1588407099528196,709.0,197159.0,3456422.0,3745.0,,,True,Implementasi mandiri dengan frozen train graph dan definisi sampler eksplisit.
EXP10,10,Temporal robust,result\exp10\runs.csv,exp10_temporal_robust_81de71eac888b22b_importance_seed42,81de71eac888b22b,exp10_temporal_robust_81de71eac888b22b_importance_seed42,importance,42.0,0.0291895912699673,AP/AUPRC,0.8068173905224116,0.0211821509228253,0.0610687022900763,0.0314541775079502,0.5145795674233409,0.2466953882127403,0.995420765520286,0.9965598135089928,0.003440186491007,0.0035103546029493,0.7142279744148254,validation,0.7013411174291333,0.672151526159166,1.0254911000083666,0.2803393351918083,120.19984939999996,1.348923683166504,0.0611098629521455,272.0,12569.0,3641012.0,4182.0,,,True,"Robust features, balanced roots, dan validation selection temporal."
EXP10,10,Temporal robust,result\exp10\runs.csv,exp10_temporal_robust_81de71eac888b22b_topology_seed42,81de71eac888b22b,exp10_temporal_robust_81de71eac888b22b_topology_seed42,topology,42.0,0.0285053641543598,AP/AUPRC,0.8030396486821438,0.0211899694642361,0.0514144589133363,0.0300111395059301,0.513991777993723,0.2264190840649913,0.9959532918629812,0.9971047583179352,0.0028952416820647,0.0029543183703819,0.8107842206954956,validation,0.6981901186845207,0.669684754530161,1.182129900000291,0.3231598112101964,129.90877919999184,1.348923683166504,0.0514491125589755,229.0,10578.0,3643003.0,4225.0,,,True,"Robust features, balanced roots, dan validation selection temporal."
